Date,Valeur,Type
2025-09-15 23:00:00,115349.71,Initial sequence
2025-09-16 00:00:00,115088.66,Initial sequence
2025-09-16 01:00:00,115024.24,Initial sequence
2025-09-16 02:00:00,115034.47,Initial sequence
2025-09-16 03:00:00,115307.25,Initial sequence
2025-09-16 04:00:00,115503.01,Initial sequence
2025-09-16 05:00:00,115936.65,Initial sequence
2025-09-16 06:00:00,115770.35,Initial sequence
2025-09-16 07:00:00,115840.0,Initial sequence
2025-09-16 08:00:00,115658.76,Initial sequence
2025-09-16 09:00:00,115477.27,Initial sequence
2025-09-16 10:00:00,115372.46,Initial sequence
2025-09-16 11:00:00,115287.83,Initial sequence
2025-09-16 12:00:00,115439.36,Initial sequence
2025-09-16 13:00:00,115200.0,Initial sequence
2025-09-16 14:00:00,115296.86,Initial sequence
2025-09-16 15:00:00,115905.88,Initial sequence
2025-09-16 16:00:00,116068.06,Initial sequence
2025-09-16 17:00:00,116461.54,Initial sequence
2025-09-16 18:00:00,116418.86,Initial sequence
2025-09-16 19:00:00,116800.12,Initial sequence
2025-09-16 20:00:00,116839.47,Initial sequence
2025-09-16 21:00:00,116800.51,Initial sequence
2025-09-16 22:00:00,116855.58,Initial sequence
2025-09-16 23:00:00,116788.96,Initial sequence
2025-09-17 00:00:00,116560.01,Initial sequence
2025-09-17 01:00:00,116662.25,Initial sequence
2025-09-17 02:00:00,116686.43,Initial sequence
2025-09-17 03:00:00,116372.04,Initial sequence
2025-09-17 04:00:00,116313.49,Initial sequence
2025-09-17 05:00:00,117108.3,Initial sequence
2025-09-17 06:00:00,117234.27,Initial sequence
2025-09-17 07:00:00,117162.48,Initial sequence
2025-09-17 08:00:00,116860.0,Initial sequence
2025-09-17 09:00:00,116550.01,Initial sequence
2025-09-17 10:00:00,116359.14,Initial sequence
2025-09-17 11:00:00,116258.13,Initial sequence
2025-09-17 12:00:00,116204.94,Initial sequence
2025-09-17 13:00:00,116107.19,Initial sequence
2025-09-17 14:00:00,115606.61,Initial sequence
2025-09-17 15:00:00,115875.32,Initial sequence
2025-09-17 16:00:00,115640.77,Initial sequence
2025-09-17 17:00:00,115504.48,Initial sequence
2025-09-17 18:00:00,115226.93,Initial sequence
2025-09-17 19:00:00,115652.02,Initial sequence
2025-09-17 20:00:00,115621.47,Initial sequence
2025-09-17 21:00:00,116038.39,Initial sequence
2025-09-17 22:00:00,116559.69,Initial sequence
2025-09-17 23:00:00,116447.59,Initial sequence
2025-09-18 00:00:00,116350.65,Initial sequence
2025-09-18 01:00:00,116634.84,Initial sequence
2025-09-18 02:00:00,116950.47,Initial sequence
2025-09-18 03:00:00,117581.66,Initial sequence
2025-09-18 04:00:00,117605.16,Initial sequence
2025-09-18 05:00:00,117273.36,Initial sequence
2025-09-18 06:00:00,117102.43,Initial sequence
2025-09-18 07:00:00,117086.01,Initial sequence
2025-09-18 08:00:00,117229.59,Initial sequence
2025-09-18 09:00:00,117298.81,Initial sequence
2025-09-18 10:00:00,117190.47,Initial sequence
2025-09-18 11:00:00,117063.4,Initial sequence
2025-09-18 12:00:00,117124.69,Initial sequence
2025-09-18 13:00:00,117432.04,Initial sequence
2025-09-18 14:00:00,117640.54,Initial sequence
2025-09-18 15:00:00,117583.56,Initial sequence
2025-09-18 16:00:00,117565.6,Initial sequence
2025-09-18 17:00:00,117579.93,Initial sequence
2025-09-18 18:00:00,117822.97,Initial sequence
2025-09-18 19:00:00,117450.21,Initial sequence
2025-09-18 20:00:00,117521.14,Initial sequence
2025-09-18 21:00:00,117299.21,Initial sequence
2025-09-18 22:00:00,117061.02,Initial sequence
2025-09-18 23:00:00,117073.53,Real values
2025-09-19 00:00:00,117424.2,Real values
2025-09-19 01:00:00,117241.32,Real values
2025-09-19 02:00:00,117112.8,Real values
